display_name_en,display_name_fr,category,acronym_en,acronym_fr,landing_page_template,parent_institution
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Ministère,AAFC,AAC,Page d'accueil institutionnelle,
Canadian Heritage,Patrimoine canadien,Ministère,PCH,PCH,Page d'accueil institutionnelle,
Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,Ministère,CIRNAC,RCAANC,Page d'accueil institutionnelle,
Defence Investment Agency,Agence Investissement Défense,Organisme ministériel,DIA,AID,Page d'accueil institutionnelle,SPAC
"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",Ministère,IRCC,IRCC,Page d'accueil institutionnelle,
Employment and Social Development Canada,Emploi et Développement social Canada,Ministère,ESDC,EDSC,Page d'accueil institutionnelle,
Department of Finance Canada,Ministère des Finances Canada,Ministère,FIN,FIN,Page d'accueil institutionnelle,
Fisheries and Oceans Canada,Pêches et Océans Canada,Ministère,DFO,MPO,Page d'accueil institutionnelle,
Global Affairs Canada,Affaires mondiales Canada,Ministère,GAC,AMC,Page d'accueil institutionnelle,
Health Canada,Santé Canada,Ministère,HC,SC,Page d'accueil institutionnelle,
Indigenous Services Canada,Services aux Autochtones Canada,Ministère,ISC,SAC,Page d'accueil institutionnelle,
"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Ministère,ISED,ISDE,Page d'accueil institutionnelle,
Department of Justice Canada,Ministère de la Justice Canada,Ministère,JUS,JUS,Page d'accueil institutionnelle,
National Defence,Défense nationale,Ministère,DND,MDN,Page d'accueil institutionnelle,
Natural Resources Canada,Ressources naturelles Canada,Ministère,NRCan,RNCan,Page d'accueil institutionnelle,
Public Safety Canada,Sécurité publique Canada,Ministère,PS,SP,Page d'accueil institutionnelle,
Public Services and Procurement Canada,Services publics et Approvisionnement Canada,Ministère,PSPC,SPAC,Page d'accueil institutionnelle,
Environment and Climate Change Canada,Environnement et Changement climatique Canada,Ministère,ECCC,ECCC,Page d'accueil institutionnelle,
Transport Canada,Transports Canada,Ministère,TC,TC,Page d'accueil institutionnelle,
Veterans Affairs Canada,Anciens Combattants Canada,Ministère,VAC,ACC,Page d'accueil institutionnelle,
